locality,state,location
Fort Atkinson,WI,"Fort Atkinson, WI"
Fort Howard,WI,"Fort Howard, WI"
Fox Lake,WI,"Fox Lake, WI"
Franklin,WI,"Franklin, WI"
Fremont,WI,"Fremont, WI"
Galesville,WI,"Galesville, WI"
Gilmanton,WI,"Gilmanton, WI"
Hudson,WI,"Hudson, WI"
Iturgeon Bay,WI,"Iturgeon Bay, WI"
Jamesville,WI,"Jamesville, WI"
Janesville,WI,"Janesville, WI"
Kenosha,WI,"Kenosha, WI"
Kewanee,WI,"Kewanee, WI"
LaCrosse,WI,"LaCrosse, WI"
Madison,WI,"Madison, WI"
Manitowoc,WI,"Manitowoc, WI"
Manston,WI,"Manston, WI"
Mendota,WI,"Mendota, WI"
Menominee,WI,"Menominee, WI"
Milton,WI,"Milton, WI"
Milwaukee,WI,"Milwaukee, WI"
Monroe,WI,"Monroe, WI"
Near Milwaukee,WI,"Near Milwaukee, WI"
Neenah,WI,"Neenah, WI"
New Holstein,WI,"New Holstein, WI"
Oshkosh,WI,"Oshkosh, WI"
Pewaukee,WI,"Pewaukee, WI"
Platteville,WI,"Platteville, WI"
Prairie du Chien,WI,"Prairie du Chien, WI"
Racine,WI,"Racine, WI"
Racine Junction,WI,"Racine Junction, WI"
Ripon,WI,"Ripon, WI"
Sheboygan,WI,"Sheboygan, WI"
Sheboygan Falls,WI,"Sheboygan Falls, WI"
Sinsinawa,WI,"Sinsinawa, WI"
Sinsinawa Mound,WI,"Sinsinawa Mound, WI"
Sparta,WI,"Sparta, WI"
Spring Green,WI,"Spring Green, WI"
St. Francis,WI,"St. Francis, WI"
Stevens Point,WI,"Stevens Point, WI"
Superior,WI,"Superior, WI"
Wanpoca,WI,"Wanpoca, WI"
Warikesha,WI,"Warikesha, WI"
Watertown,WI,"Watertown, WI"
Waukesha,WI,"Waukesha, WI"
Waupun,WI,"Waupun, WI"
Wausau,WI,"Wausau, WI"
West Allis,WI,"West Allis, WI"
Winnebago,WI,"Winnebago, WI"
NA,WI,"NA, WI"
Barnesville,WV,"Barnesville, WV"
bethany,WV,"bethany, WV"
Bethany,WV,"Bethany, WV"
Bethany College,WV,"Bethany College, WV"
Charles Town,WV,"Charles Town, WV"
Charleston,WV,"Charleston, WV"
Charlestown,WV,"Charlestown, WV"
Flemington,WV,"Flemington, WV"
Guyandotte,WV,"Guyandotte, WV"
Harper's Ferry,WV,"Harper's Ferry, WV"
Harpers Ferry,WV,"Harpers Ferry, WV"
Lewisburg,WV,"Lewisburg, WV"
Martinsburg,WV,"Martinsburg, WV"
Morgantown,WV,"Morgantown, WV"
Moundsville,WV,"Moundsville, WV"
New Cumberland,WV,"New Cumberland, WV"
Ohio County,WV,"Ohio County, WV"
Parkensburg,WV,"Parkensburg, WV"
Parkersburg,WV,"Parkersburg, WV"
Preston,WV,"Preston, WV"
Preston county,WV,"Preston county, WV"
Preston County,WV,"Preston County, WV"
Pruntytown,WV,"Pruntytown, WV"
Sheperdstown,WV,"Sheperdstown, WV"
Shepherds town,WV,"Shepherds town, WV"
Wellsburg,WV,"Wellsburg, WV"
Weston,WV,"Weston, WV"
Wheeling,WV,"Wheeling, WV"
Bridger,WY,"Bridger, WY"
Cheyenne,WY,"Cheyenne, WY"
Fetterman,WY,"Fetterman, WY"
Fort D.A. Russell?,WY,"Fort D.A. Russell?, WY"
Fort Laramie,WY,"Fort Laramie, WY"
Ft. D.A. Russell,WY,"Ft. D.A. Russell, WY"
Ft. Fred Steele,WY,"Ft. Fred Steele, WY"
Laramie,WY,"Laramie, WY"
Sanders,WY,"Sanders, WY"
NA,WY,"NA, WY"
